-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.013,  0.115
-183.800, 80.199, 0.036,  0.148
-183.800, 80.197, 0.035,  0.181
-183.800, 80.196, 0.041,  0.214
-183.800, 80.192, 0.126,  0.247
-183.799, 80.185, 0.223,  0.280
-183.799, 80.174, 0.360,  0.313
-183.798, 80.159, 0.464,  0.346
-183.797, 80.136, 0.681,  0.379
-183.796, 80.110, 0.799,  0.412
-183.795, 80.081, 0.874,  0.445
-183.793, 80.049, 0.952,  0.478
-183.792, 80.016, 0.972,  0.511
-183.790, 79.985, 0.952,  0.544
-183.788, 79.953, 0.960,  0.577
-183.787, 79.922, 0.958,  0.610
-183.785, 79.889, 0.995,  0.643
-183.783, 79.853, 1.112,  0.676
-183.781, 79.812, 1.267,  0.709
-183.779, 79.767, 1.345,  0.742
-183.776, 79.721, 1.379,  0.775
-183.774, 79.675, 1.394,  0.808
-183.771, 79.629, 1.396,  0.841
-183.768, 79.583, 1.368,  0.874
-183.766, 79.539, 1.346,  0.907
-183.763, 79.495, 1.345,  0.940
-183.760, 79.450, 1.368,  0.973
-183.758, 79.403, 1.400,  1.006
-183.755, 79.356, 1.422,  1.039
-183.752, 79.309, 1.428,  1.072
-183.749, 79.262, 1.427,  1.105
-183.745, 79.214, 1.431,  1.138
-183.742, 79.167, 1.443,  1.171
-183.739, 79.118, 1.457,  1.204
-183.736, 79.070, 1.467,  1.237
-183.732, 79.021, 1.474,  1.270
-183.729, 78.972, 1.480,  1.303
-183.725, 78.922, 1.488,  1.336
-183.722, 78.873, 1.497,  1.369
-183.718, 78.823, 1.504,  1.402
-183.715, 78.773, 1.511,  1.435
-183.711, 78.722, 1.517,  1.468
-183.707, 78.672, 1.524,  1.501
-183.703, 78.621, 1.530,  1.534
-183.699, 78.570, 1.536,  1.567
-183.695, 78.519, 1.542,  1.600
-183.691, 78.467, 1.548,  1.633
-183.687, 78.416, 1.554,  1.666
-183.683, 78.364, 1.560,  1.699
-183.678, 78.312, 1.566,  1.732
